Composer,Work,Year,Opus/number,Movement,Bar / range,Time signature,Division (""?"" When unclear),Tempo,Basis of mixed metre / other note
"Bourgeois, Derek",‘Serenade’,1965,op.22,,Fig.4-6,"""13/8""","""3+3+2+2+3""","Piacevole, [DC] = 76",
"Reich, Steve",Reed Phase,1966,, ,,[5/4],?,[C]=132-160,Also suggestion of 5/8 (5 note cell)
"Rautavaara, Einojuhani",Piano Sonata No. 1,1969,op.54,Movt 2,From b.6,"""8/8""",3+2+3,[DC]=126,
"Rautavaara, Einojuhani",Piano Sonata No. 2,1970,op.64,Movt 1,,"""8/8""",3+2+3,[Bar]=60,
"Barber, Samuel",The Lovers,1971,op.43,"Movt II, Lithe Girl, Brown Girl",Outer sections,"""5/8""",Both 2+3 and 3+2,,
"Rutter, John",Gloria,1974,,Movt 3,b.135-54 (Fig.31-2),"""5/8""",3+2,[C]=144,
"Ligeti, György",Hungarian Rock (Chaconne),1978,,,,"""9/8"" and ""2+2+3+2""","""2+2+3+2""",[Bar]=50,Stronger suggestion of 2+3+2+2 in places.
"Reich, Steve",Octet (Eight Lines),1979 (83),,,,"""5/4""",3+2,[C]=176-84,
"Ligeti, György",Horn trio,1982,,"Movt 2, Vivacissimo molto ritmico",,"4/4 (3+3+2) [sic] and ""323"" for the ostinato","""3+3+2"" and ""3+2+3""",Vivacissimo molto ritmico [Bar]=60,"See Études, No.4: ""Fanfares"""
"Ligeti, György",Horn trio,1982,,"Movt 4, Lamento",,"""5/8""",3+2 (notation) ,"Adagio, [Q]=78",
"Andriessen, Louis",Trepidus,1983,,,,"""5/8""",Both 2+3 and 3+2,[C]=100,
"Ligeti, György","Études, No.4: ""Fanfares""",1985,,No. 4,Ostinato and large portions of the other part,"""3+2+3/8"" (8/8)","""3+2+3""",[Bar]=63,See Horn trio
"Weir, Judith","Illuminare, Jerusalem",1985,,,From b.2,"""9/8"" alt. ""6/8"" = 15/8 (5)",3+2,,
"Maxwell Davies, Peter",Concerto for Trumpet and Orchestra,1988,,Movt 1,Start and Fig.D,"""4/4+3/8""","""2+2+2+2+3""",[C] = c.60,
"Rihm, Wolfgang",In-schrift,1995,,,b.191-271,"""5/4""",Both 2+3 and 3+2,,
"Ligeti, György",Hamburg Concerto,"1998–99, rev. 2003",,1: Praeludium,,"""12/8 = 2+3+4+3/8""",2+3+2+2+3,[DC]=76,
"Ligeti, György",Hamburg Concerto,"1998–99, rev. 2003",,"3: Aria, Aksak, Hoketus",b.12-end,"""9/8 = 4+3+2/8""",2+2+3+2,[C]=160,
"Ligeti, György",Hamburg Concerto,"1998–99, rev. 2003",,5: Spectra,,"""16/8 = 3/8+3/4+3/8+2/4""",3+2+2+2+3+2+2,[Q]=96,
"Ligeti, György",Hamburg Concerto,"1998–99, rev. 2003",,7: Hymnus,,"""5/4""",2+3+3+2 (two bars),Andante maestoso e misterioso,
"Matthew, Colin","Pluto, the Renewer",2000,,,,"""5/4""",3+2 (notation),"Prestissimo scorrevole, [C] not less than 168",
"Roth, Alec",Ponticelli,2007,,Movt 1: ‘Flat Bridge’,,"""10/8""",Mostly 3+3+2+2,"Allegro ritmico, dancing",
"Dove, Jonathan",Missa Brevis,2009,,Sanctus,,"""5/8""",3+2 (notation),Spirited [Q]=220,
"Dove, Jonathan",Missa Brevis,2009,,Agnus Dei,,"""5/4""",3+2 (notation),Gently moving [C]=104,
