1	1.0	1.0	0.5	['B1', 'F#2']	['P5']	[0, 5]	[6, 11]
42	1.0	1.0	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'C#5']	['P5', 'M10', 'm14', 'M16', 'A18', 'M6', 'm10', 'P12', 'M14', 'd5', 'm7', 'M9', 'M3', 'A5']	[0, 1, 3, 5, 7, 9]	[5, 7, 9, 11, 1, 2]
42	1.5	0.25	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'C#5']	['P5', 'M10', 'm14', 'M16', 'A18', 'M6', 'm10', 'P12', 'M14', 'd5', 'm7', 'M9', 'M3', 'A5']	[0, 1, 3, 5, 7, 9]	[5, 7, 9, 11, 1, 2]
42	2.0	0.5	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'B4', 'E5', 'E6']	['P5', 'M10', 'm14', 'M16', 'M17', 'M20', 'M27', 'M6', 'm10', 'P12', 'M13', 'M23', 'd5', 'm7', 'P8', 'P11', 'P18', 'M3', 'A4', 'M7', 'M14', 'M2', 'P4']	[0, 2, 3, 5, 7, 9]	[2, 4, 5, 7, 9, 11]
42	2.5	0.25	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'B4', 'E5', 'E6']	['P5', 'M10', 'm14', 'M16', 'M17', 'M20', 'M27', 'M6', 'm10', 'P12', 'M13', 'M23', 'd5', 'm7', 'P8', 'P11', 'P18', 'M3', 'A4', 'M7', 'M14', 'M2', 'P4']	[0, 2, 3, 5, 7, 9]	[2, 4, 5, 7, 9, 11]
42	3.0	0.5	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'D5', 'D6']	['P5', 'M10', 'm14', 'M16', 'P19', 'P26', 'M6', 'm10', 'P12', 'P15', 'P22', 'd5', 'm7', 'm17', 'M3', 'M13', 'P4', 'P11', 'P8']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
42	3.5	0.25	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'D5', 'D6']	['P5', 'M10', 'm14', 'M16', 'P19', 'P26', 'M6', 'm10', 'P12', 'P15', 'P22', 'd5', 'm7', 'm17', 'M3', 'M13', 'P4', 'P11', 'P8']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
43	1.0	1.0	0.16666666666666666	['A3', 'B3', 'D4', 'F4']	['M2', 'P4', 'm6', 'm3', 'd5']	[0, 2, 5, 8]	[9, 11, 2, 5]
43	133/100	0.0625	0.08333333333333333	['A3', 'B3', 'D4', 'F4', 'F5']	['M2', 'P4', 'm6', 'm13', 'm3', 'd5', 'd12', 'm10', 'P8']	[0, 2, 5, 8]	[9, 11, 2, 5]
43	1.5	0.25	0.08333333333333333	['A3', 'B3', 'D4', 'F4', 'F5']	['M2', 'P4', 'm6', 'm13', 'm3', 'd5', 'd12', 'm10', 'P8']	[0, 2, 5, 8]	[9, 11, 2, 5]
43	167/100	0.0625	0.16666666666666666	['A3', 'B3', 'D4', 'F4', 'A5']	['M2', 'P4', 'm6', 'P15', 'm3', 'd5', 'm14', 'P12', 'M10']	[0, 2, 5, 8]	[9, 11, 2, 5]
43	2.0	0.5	0.25	['A3', 'B3', 'D4', 'F4', 'E5', 'A5']	['M2', 'P4', 'm6', 'P12', 'P15', 'm3', 'd5', 'P11', 'm14', 'M9', 'M7', 'M10']	[0, 1, 3, 6, 8]	[9, 11, 2, 4, 5]
43	2.5	0.25	0.25	['A3', 'B3', 'D4', 'F4', 'E5', 'A5']	['M2', 'P4', 'm6', 'P12', 'P15', 'm3', 'd5', 'P11', 'm14', 'M9', 'M7', 'M10']	[0, 1, 3, 6, 8]	[9, 11, 2, 4, 5]
43	3.0	0.5	0.25	['A3', 'B3', 'D4', 'F4', 'D5', 'A5']	['M2', 'P4', 'm6', 'P11', 'P15', 'm3', 'd5', 'm10', 'm14', 'P8', 'P12', 'M6', 'M10', 'P5']	[0, 2, 5, 8]	[9, 11, 2, 5]
43	3.5	0.25	0.25	['A3', 'B3', 'D4', 'F4', 'D5', 'A5']	['M2', 'P4', 'm6', 'P11', 'P15', 'm3', 'd5', 'm10', 'm14', 'P8', 'P12', 'M6', 'M10', 'P5']	[0, 2, 5, 8]	[9, 11, 2, 5]
44	1.0	1.0	0.25	['B1', 'B2', 'A3', 'C#4', 'D#4', 'A4', 'A5']	['P8', 'm14', 'M16', 'M17', 'm21', 'm28', 'm7', 'M9', 'M10', 'M3', 'A4', 'P15', 'M2', 'm6', 'm13', 'd5', 'd12']	[0, 2, 4, 6]	[9, 11, 1, 3]
44	1.5	0.25	0.25	['B1', 'B2', 'C#4', 'D#4', 'A4', 'A5']	['P8', 'M16', 'M17', 'm21', 'm28', 'M9', 'M10', 'm14', 'M2', 'm6', 'm13', 'd5', 'd12']	[0, 2, 4, 6]	[9, 11, 1, 3]
44	2.0	0.5	0.25	['B1', 'B2', 'F#3', 'B3', 'D#4', 'B4', 'G#5']	['P8', 'P12', 'P15', 'M17', 'P22', 'M27', 'P5', 'M10', 'M20', 'P4', 'M6', 'P11', 'M16', 'M3', 'M13', 'm6']	[0, 3, 5, 8]	[3, 6, 8, 11]
44	2.5	0.25	0.25	['B1', 'B2', 'F#3', 'D#4', 'B4', 'G#5']	['P8', 'P12', 'M17', 'P22', 'M27', 'P5', 'M10', 'P15', 'M20', 'M6', 'P11', 'M16', 'm6']	[0, 3, 5, 8]	[3, 6, 8, 11]
44	3.0	0.5	0.25	['B1', 'B2', 'F#3', 'B#3', 'D#4', 'F#4', 'B#4', 'F#5']	['P8', 'P12', 'A15', 'M17', 'P19', 'A22', 'P26', 'P5', 'A8', 'M10', 'A4', 'M6', 'A11', 'P15', 'm3', 'd5', 'd12', 'm10']	[0, 1, 4, 7]	[11, 0, 3, 6]
44	3.5	0.25	0.25	['B1', 'B2', 'F#3', 'D#4', 'F#4', 'B#4', 'F#5']	['P8', 'P12', 'M17', 'P19', 'A22', 'P26', 'P5', 'M10', 'A15', 'M6', 'A11', 'P15', 'm3', 'm10', 'A4', 'd5']	[0, 1, 4, 7]	[11, 0, 3, 6]
45	1.0	1.0	0.5	['A3', 'B3', 'C#4', 'D#4', 'F#4', 'A4', 'C#5', 'D#5', 'A5']	['M2', 'M3', 'A4', 'M6', 'P8', 'M10', 'A11', 'P15', 'P5', 'm7', 'M9', 'm14', 'P4', 'm6', 'm13', 'm3', 'd5', 'd12', 'm10']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
45	2.0	0.5	0.25	['B3', 'D#4', 'A4', 'C#5', 'A5']	['M3', 'm7', 'M9', 'm14', 'd5', 'd12', 'P8', 'm6']	[0, 2, 4, 6]	[9, 11, 1, 3]
45	2.5	0.25	0.25	['B3', 'D#4', 'A4', 'C#5', 'A5']	['M3', 'm7', 'M9', 'm14', 'd5', 'd12', 'P8', 'm6']	[0, 2, 4, 6]	[9, 11, 1, 3]
45	3.0	0.5	0.25	['B3', 'D#4', 'G#4', 'A4', 'C#5', 'A5']	['M3', 'M6', 'm7', 'M9', 'm14', 'P4', 'd5', 'd12', 'm2', 'm9', 'P8', 'm6']	[0, 1, 3, 5, 7]	[8, 9, 11, 1, 3]
45	3.5	0.25	0.25	['B3', 'D#4', 'F#4', 'A4', 'C#5', 'A5']	['M3', 'P5', 'm7', 'M9', 'm14', 'm3', 'd5', 'd12', 'm10', 'P8', 'm6']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
46	1.0	1.0	0.5	['E2', 'B2', 'G#3', 'C#4', 'G#4']	['P5', 'M10', 'M13', 'M17', 'M6', 'M9', 'P4', 'P8']	[0, 3, 5, 8]	[8, 11, 1, 4]
46	2.0	0.5	0.25	['E2', 'B2', 'G#3', 'C#4', 'G#4']	['P5', 'M10', 'M13', 'M17', 'M6', 'M9', 'P4', 'P8']	[0, 3, 5, 8]	[8, 11, 1, 4]
46	2.5	0.25	0.25	['E2', 'B2', 'F#3', 'C#4', 'F#4']	['P5', 'M9', 'M13', 'M16', 'P12', 'P8', 'P4']	[0, 2, 5, 7]	[11, 1, 4, 6]
46	3.0	0.5	0.25	['C2', 'G2', 'F3', 'C4', 'F4']	['P5', 'P11', 'P15', 'P18', 'm7', 'm14', 'P8', 'P4']	[0, 2, 7]	[5, 7, 0]
46	3.5	0.25	0.25	['C2', 'G2', 'E3', 'C4', 'E4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[0, 4, 7]
47	1.0	1.0	0.25	['E2', 'B2', 'G#3', 'C#4', 'G#4']	['P5', 'M10', 'M13', 'M17', 'M6', 'M9', 'P4', 'P8']	[0, 3, 5, 8]	[8, 11, 1, 4]
47	1.5	0.25	0.25	['E2', 'B2', 'G#3', 'C#4', 'G#4']	['P5', 'M10', 'M13', 'M17', 'M6', 'M9', 'P4', 'P8']	[0, 3, 5, 8]	[8, 11, 1, 4]
47	2.0	0.5	0.25	['E2', 'B2', 'G#3', 'C#4', 'G#4']	['P5', 'M10', 'M13', 'M17', 'M6', 'M9', 'P4', 'P8']	[0, 3, 5, 8]	[8, 11, 1, 4]
47	2.5	0.25	0.25	['E2', 'B2', 'F#3', 'C#4', 'F#4']	['P5', 'M9', 'M13', 'M16', 'P12', 'P8', 'P4']	[0, 2, 5, 7]	[11, 1, 4, 6]
47	3.0	0.5	0.25	['C2', 'G2', 'F3', 'C4', 'F4']	['P5', 'P11', 'P15', 'P18', 'm7', 'm14', 'P8', 'P4']	[0, 2, 7]	[5, 7, 0]
47	3.5	0.25	0.25	['C2', 'G2', 'E3', 'C4', 'E4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[0, 4, 7]
48	1.0	1.0	0.25	['G1', 'D2', 'G2', 'E3', 'B3', 'E4']	['P5', 'P8', 'M13', 'M17', 'M20', 'P4', 'M9', 'M16', 'M6', 'M10']	[0, 3, 5, 8]	[11, 2, 4, 7]
48	1.5	0.25	0.25	['G1', 'D2', 'G2', 'E3', 'B3', 'E4']	['P5', 'P8', 'M13', 'M17', 'M20', 'P4', 'M9', 'M16', 'M6', 'M10']	[0, 3, 5, 8]	[11, 2, 4, 7]
48	2.0	0.5	0.25	['G1', 'D2', 'G2', 'E3', 'B3', 'E4', 'B4']	['P5', 'P8', 'M13', 'M17', 'M20', 'M24', 'P4', 'M9', 'M16', 'M6', 'M10', 'P12']	[0, 3, 5, 8]	[11, 2, 4, 7]
48	2.5	0.25	0.25	['G1', 'D2', 'G2', 'E3', 'B3', 'E4', 'B4']	['P5', 'P8', 'M13', 'M17', 'M20', 'M24', 'P4', 'M9', 'M16', 'M6', 'M10', 'P12']	[0, 3, 5, 8]	[11, 2, 4, 7]
48	3.0	0.5	0.25	['G1', 'D2', 'G2', 'E3', 'B3', 'E4', 'A4']	['P5', 'P8', 'M13', 'M17', 'M20', 'M23', 'P4', 'M9', 'M16', 'P19', 'M6', 'M10', 'P11', 'm7']	[0, 2, 4, 7, 9]	[7, 9, 11, 2, 4]
48	3.5	0.25	0.25	['G1', 'D2', 'G2', 'E3', 'B3', 'E4', 'A4']	['P5', 'P8', 'M13', 'M17', 'M20', 'M23', 'P4', 'M9', 'M16', 'P19', 'M6', 'M10', 'P11', 'm7']	[0, 2, 4, 7, 9]	[7, 9, 11, 2, 4]
49	1.0	1.0	0.25	['F1', 'C2', 'F2', 'D3', 'A3', 'D4']	['P5', 'P8', 'M13', 'M17', 'M20', 'P4', 'M9', 'M16', 'M6', 'M10']	[0, 3, 5, 8]	[9, 0, 2, 5]
49	1.5	0.25	0.25	['F1', 'C2', 'F2', 'D3', 'A3', 'D4']	['P5', 'P8', 'M13', 'M17', 'M20', 'P4', 'M9', 'M16', 'M6', 'M10']	[0, 3, 5, 8]	[9, 0, 2, 5]
49	2.0	0.5	0.25	['F1', 'C2', 'F2', 'D3', 'A3', 'D4', 'B4']	['P5', 'P8', 'M13', 'M17', 'M20', 'A25', 'P4', 'M9', 'M16', 'M21', 'M6', 'M10', 'A18']	[0, 2, 3, 5, 8]	[9, 11, 0, 2, 5]
49	2.5	0.25	0.25	['F1', 'C2', 'F2', 'D3', 'A3', 'D4', 'B4']	['P5', 'P8', 'M13', 'M17', 'M20', 'A25', 'P4', 'M9', 'M16', 'M21', 'M6', 'M10', 'A18']	[0, 2, 3, 5, 8]	[9, 11, 0, 2, 5]
49	3.0	0.5	0.25	['F1', 'C2', 'F2', 'D3', 'A3', 'D4', 'A4']	['P5', 'P8', 'M13', 'M17', 'M20', 'M24', 'P4', 'M9', 'M16', 'M6', 'M10', 'P12']	[0, 3, 5, 8]	[9, 0, 2, 5]
49	3.5	0.25	0.25	['F1', 'C2', 'F2', 'D3', 'A3', 'D4', 'A4']	['P5', 'P8', 'M13', 'M17', 'M20', 'M24', 'P4', 'M9', 'M16', 'M6', 'M10', 'P12']	[0, 3, 5, 8]	[9, 0, 2, 5]
50	1.0	1.0	0.5	['E1', 'B1', 'E2', 'B2', 'G#3', 'B3']	['P5', 'P8', 'P12', 'M17', 'P19', 'P4', 'M13', 'P15', 'M10', 'M6', 'm3']	[0, 3, 7]	[4, 8, 11]
50	2.0	0.5	0.5	['E1', 'B1', 'E2', 'B2', 'G#3', 'B3']	['P5', 'P8', 'P12', 'M17', 'P19', 'P4', 'M13', 'P15', 'M10', 'M6', 'm3']	[0, 3, 7]	[4, 8, 11]
50	3.0	0.5	0.5	['E1', 'B1', 'E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'P8', 'P12', 'M17', 'P19', 'P22', 'M24', 'P26', 'P4', 'M13', 'P15', 'P18', 'M20', 'M10', 'M6', 'P11', 'm3', 'm6', 'm10', 'M3']	[0, 3, 7]	[4, 8, 11]
51	1.0	1.0	1.5	['E1', 'B1', 'E2', 'B2', 'G#3', 'B3', 'E5', 'G#5', 'B5']	['P5', 'P8', 'P12', 'M17', 'P19', 'P29', 'M31', 'P33', 'P4', 'M13', 'P15', 'P25', 'M27', 'M10', 'P22', 'M24', 'P26', 'M6', 'P18', 'M20', 'm3', 'm13', 'm17', 'P11', 'M3']	[0, 3, 7]	[4, 8, 11]
52	1.0	1.0	0.5	['E1', 'B1', 'E2', 'B2', 'G#3', 'B3', 'E5', 'G#5', 'B5']	['P5', 'P8', 'P12', 'M17', 'P19', 'P29', 'M31', 'P33', 'P4', 'M13', 'P15', 'P25', 'M27', 'M10', 'P22', 'M24', 'P26', 'M6', 'P18', 'M20', 'm3', 'm13', 'm17', 'P11', 'M3']	[0, 3, 7]	[4, 8, 11]
52	2.0	0.5	1.0				
